Var1, Var2, Coeff
Shape_Length, LENGTHKM, 0.917687978402
Shape_Length, FLNLCD_41, 0.754759763246
Shape_Length, Forest, 0.798398956222
Shape_Length, ShadedLength, 0.755056988627
LENGTHKM, FLNLCD_41, 0.858239254463
LENGTHKM, Forest, 0.848011318322
LENGTHKM, ShadedLength, 0.867077151708
ArbolateSu, NLCD2_1, 0.986318271802
ArbolateSu, NLCD4_1, 0.993057971889
ArbolateSu, NLCD7_1, 0.988703986288
ArbolateSu, NLCD9_1, 0.982294910978
TEMP0001, PET0001, 0.99787735537
TEMP0001, TempVMA, 0.999998444444
TEMP0001, RunOffVMA, -0.719100917358
PET0001, TempVMA, 0.997878153682
PET0001, RunOffVMA, -0.748361605024
TempVMA, RunOffVMA, -0.719096504262
PrecipVC, Precip_min, 0.889368998916
PrecipVC, RunOffVMA, 0.908196754665
Precip_min, RunOffVMA, 0.912022728505
NLCD2, NLCD4, 0.947194018885
NLCD2, FLNLCD_21, 0.736397934486
NLCD4, FLNLCD_21, 0.700609218688
NLCD9, FLNLCD_90, 0.853521766259
NLCD2_1, NLCD4_1, 0.998712426656
NLCD2_1, NLCD7_1, 0.977241221279
NLCD2_1, NLCD9_1, 0.977421971436
NLCD4_1, NLCD7_1, 0.983892517353
NLCD4_1, NLCD9_1, 0.982439367029
NLCD7_1, NLCD9_1, 0.99634327593
FLNLCD_41, Forest, 0.848662873173
FLNLCD_41, ShadedLength, 0.974615092348
Forest, ShadedLength, 0.853794814131
