"","variable","coef"
"1","StreamOrde",0.0502643415371394
"2","Pathlength",0.0640238779371223
"4","AreaSqKM_1",0.0825717365842431
"7","V0001E",0.0475172245276566
"8","Qincr0001E",0.0416962432891468
"10","PPT0001",-0.0448243068122373
"25","RunOffV",-0.0385659871971987
"26","MinMonthly",-0.0364942114430605
"27","NLCD11P",-0.0274322943691677
"49","tfactor_MEAN",0.027241114869832
"50","water_table_MEAN",0.107270417575715
"51","erodability_MEAN",0.0335399353739883
"53","VALUE_21",0.0445061679084601
"55","VALUE_23_24",0.0271399749428925
"56","VALUE_FOREST",0.0792004611112333
"57","VALUE_52",0.0536787327961737
"59","VALUE_81",0.0718545056772282
"66","warm",0.0373046515438745
"67","Crossings",0.0744680119947057
